State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SC,29516,MARLBORO CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29518,CLARENDON CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29519,MARION CO CAPITAL PROJECTS SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29520,CHESTERFIELD CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29525,MARLBORO CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29526,CONWAY,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29527,CONWAY,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29528,CONWAY,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29530,COWARD,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29532,DARLINGTON CO EDUCATION CAPTIAL IMPROVEMENT TAX SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29536,MARION CO CAPITAL PROJECTS SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29540,DARLINGTON CO EDUCATION CAPTIAL IMPROVEMENT TAX SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29541,FLORENCE,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29543,DILLON CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29544,AYNOR,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29545,HORRY CO CAPITAL PROJECTS TAX SL,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29546,MARION CO CAPITAL PROJECTS SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29547,DILLON CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29550,DARLINGTON CO EDUCATION CAPTIAL IMPROVEMENT TAX SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29551,HARTSVILLE,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29554,WILLIAMSBURG CO SL,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29555,WILLIAMSBURG CO SL,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29556,WILLIAMSBURG CO SL,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29560,CLARENDON CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29563,DILLON CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29564,WILLIAMSBURG CO SL,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29565,MARION CO CAPITAL PROJECTS SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29566,HORRY CO CAPITAL PROJECTS TAX SL,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29567,DILLON CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29568,HORRY CO CAPITAL PROJECTS TAX SL,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29569,LORIS,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29570,MARLBORO CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29571,MARION CO CAPITAL PROJECTS SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29572,MYRTLE BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29574,MARION CO CAPITAL PROJECTS SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29575,MYRTLE BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29576,HORRY CO CAPITAL PROJECTS TAX SL,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29577,MYRTLE BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29578,MYRTLE BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29579,MYRTLE BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29580,WILLIAMSBURG CO SL,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29581,HORRY CO CAPITAL PROJECTS TAX SL,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29582,MYRTLE BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29583,FLORENCE CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29584,CHESTERFIELD CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29585,GEORGETOWN,0.060000,0.060000,0.000000,0.000000,0.000000,0
